"fit.power","a1","a2","a3","a4","a5","w1_2","w1_3","w1_4","w1_5","w2_1","w2_3","w2_4","w2_5","w3_1","w3_2","w3_4","w3_5","w4_1","w4_2","w4_3","w4_5","w5_1","w5_2","w5_3","w5_4","w6_1","w6_2","w6_3","w6_4","status","iters","time","name","opt_val_mean","opt_val_sd","opt_val_max","opt_val_min"
0.7942076,0.306249696073591,0.690057983272531,0.000296366365788913,0.00331378446290511,8.21698251832002e-05,0.748624379227908,0.189757185865245,0.0369111947737822,0.015466054287929,0.863623248452588,0.0359076001631969,0.0989825986390436,0.000200775112318264,0.296211623647209,0.172613724504265,0.271752197027435,0.133086201298933,0.386566912073704,0.100249353981532,0.0783534968083344,0.183662835315789,0.142742990431747,0.316166121322325,0.150446604500678,0.310828510317162,0.221620616041806,0.128427386923493,0.213825625161031,0.430272365586097,4,1294,1420.28137493134,"NLOPT_LN_COBYLA",0.79177088,0.00416329547918472,0.7942076,0.7942076
0.7941527,0.528381312597566,0.469255337198687,0.00115888459798116,0.00118808050175039,1.17585191743877e-05,0.856462128606618,0.0582210675658129,0.0794883516595035,0.00393787675237211,0.70419775162357,0.168328806269461,0.115668272566382,0.00712467935059926,0.280768938658205,0.179648634434857,0.0584563975282344,0.17843796247717,0.503355317942372,0.101146548511287,0.0419782292907706,0.187273399812797,0.326926425625983,0.061005218739401,0.0328256589882075,0.0119248776281835,0.284872654146463,0.416091990548814,0.0233383853528588,0.0344373631430297,4,887,964.322181940079,"NLOPT_LN_COBYLA",0.79177088,0.00416329547918472,0.7942076,0.7942076
0.7921528,0.632463023175522,0.365475901762111,0.00158417641652865,0.000431448135134391,3.5285029651307e-05,0.577111929284231,0.361051425995239,0.0531604071587464,0.000274811973689686,0.364683518240696,0.178933100376516,0.373215745260444,0.0554317730696992,0.112617674186901,0.693043769874988,0.13734955578159,0.00634112141827266,0.135580717111093,0.165233560502619,0.262780019669247,0.216867171798767,0.547566789788143,0.16821110888184,0.101861297253381,0.100151915946168,0.146375937538529,0.443464419673236,0.316799911449343,0.0371507923733017,4,1579,1727.27351117134,"NLOPT_LN_COBYLA",0.79177088,0.00416329547918472,0.7942076,0.7942076
0.7844774,0.0189883345613534,0.949618900895385,0.0160919222863829,0.0152721959934775,1.07535125107947e-05,0.75500963105695,0.0118528987329465,0.00207015911735072,0.110257806216414,0.256564906567099,0.442055286607393,0.300636078400809,0.000242395897828491,0.539556182263728,0.450957230361653,0.000293532353370609,0.00518529636890897,0.587527192934785,0.311070220602294,0.0817044881896412,0.0108665258739361,0.198648179900361,0.146064491765512,0.00393775122912757,0.25241675991009,0.436278648218378,0.197892360503362,0.0748515059562452,0.237542271827997,4,1460,1599.07890582085,"NLOPT_LN_COBYLA",0.79177088,0.00416329547918472,0.7942076,0.7942076
0.7938639,0.581428835670677,0.413551351936217,0.000978980615406939,0.00377747633293298,0.000216917571732937,0.850433928251329,0.0681605707726591,0.0782700716889841,0.000691138682542448,0.526416655065576,0.250718027059745,0.181527318912556,0.0217864543568736,0.406337386021833,0.333410516701293,0.0933048318563351,0.0934567682588827,0.252463753957147,0.166020578220014,0.123919024577808,0.179487458161204,0.341603333244721,0.0650334643095867,0.250710804610719,0.119508770438462,0.409599104852599,0.052404798883019,0.0164578597092828,0.372525985884536,4,1406,1558.91579914093,"NLOPT_LN_COBYLA",0.79177088,0.00416329547918472,0.7942076,0.7942076
0.7474189,0.235949154720283,0.0665218161115624,0.0956472103161297,0.203195919764725,0.246123944208083,0.259577078449648,0.173446377804552,0.0219430957297249,0.21902420456596,0.0408313545605163,0.126642285096711,0.330111332965762,0.109715385210327,0.22583765604639,0.049051543893271,0.233392603398756,0.319172104108929,0.0530781236936886,0.106949839681189,0.330712997548735,0.140527443271469,0.365729553649761,0.109756295500117,0.173328405274994,0.208701181008627,0.328564981846336,0.261161749844408,0.0470418313605622,0.319875605496512,6,2769,2954.17179894447,"NLOPT_GN_ISRES",0.74611684,0.00687417772559015,0.7525006,0.7525006
0.7352976,0.152517887061463,0.0443650093509988,0.0267455504879193,0.09346717031696,0.303701162838956,0.460948270653953,0.0786480280120425,0.217705179089574,0.0814422724204061,0.47158938164486,0.0587656346848204,0.276705289922294,0.0516865157902991,0.0034663919197144,0.392545449054379,0.126072078711633,0.25464474698316,0.306458057373671,0.278575804877939,0.304009184674207,0.0201841990815001,0.156663625627107,0.310156873282732,0.115697694116377,0.217198087867502,0.0997981653401945,0.099491302971195,0.203824515938078,0.455169569128255,6,2761,2953.78613710403,"NLOPT_GN_ISRES",0.74611684,0.00687417772559015,0.7525006,0.7525006
0.7525006,0.0656404830414269,0.252569997227439,0.205891950864577,0.101547882646642,0.227071482209588,0.301332317674926,0.248607035332264,0.208315237930425,0.147728043513274,0.202744492094549,0.255527917812142,0.0648121737990665,0.435042961965893,0.205470565905536,0.214850947010598,0.404872641948534,0.173794476347305,0.213606444673029,0.0746813981154108,0.230417794854434,0.33958222645953,0.270436014798907,0.233174488782197,0.36122454878423,0.0919663170993739,0.377362973753294,0.0738622525821322,0.158668019372589,0.138494690914448,6,2776,2953.62438511848,"NLOPT_GN_ISRES",0.74611684,0.00687417772559015,0.7525006,0.7525006
0.7441761,0.01944175739314,0.166162115936214,0.173073159407497,0.355979139077074,0.107563162951709,0.145490673545715,0.263429282141545,0.390838296617698,0.046343459856178,0.404052737204189,0.137702681142168,0.225381301399698,0.228988562518136,0.312326351232058,0.11453957953872,0.157160212556677,0.287462785349114,0.16867785498395,0.0596069569869117,0.278861875332667,0.481858067384861,0.13668413459896,0.346310720745703,0.303773185353168,0.0718065978244887,0.145452107627409,0.279248065804517,0.00137230370020817,0.272296492764045,6,2940,2953.83477210999,"NLOPT_GN_ISRES",0.74611684,0.00687417772559015,0.7525006,0.7525006
0.751191,0.136655620692391,0.190173798774023,0.308754951004698,0.0379253686045787,0.100424848507395,0.121348496504312,0.274434705315146,0.191476399357611,0.290400162298804,0.0549938243604967,0.288719103620763,0.173471183253608,0.207753337193366,0.109357413996518,0.165081036088343,0.346121110698962,0.357954849089236,0.271157017209638,0.124388743084855,0.141978664392372,0.247206583573801,0.0874367218862793,0.281288787400015,0.129882903879197,0.195463162281359,0.0727797699804392,0.385679774701753,0.181147920254371,0.320493764136383,6,3475,2953.84501385689,"NLOPT_GN_ISRES",0.74611684,0.00687417772559015,0.7525006,0.7525006
