"a1","a2","a3","a4","a5","w1_1","w1_2","w1_3","w1_4","w1_5","w2_1","w2_2","w2_3","w2_4","w2_5","w3_1","w3_2","w3_3","w3_4","w3_5","w4_1","w4_2","w4_3","w4_4","w4_5","w5_1","w5_2","w5_3","w5_4","w5_5","target.power","target.power.norm","fit.power","fit.target.power","rank.target.power","rank.fit.power"
1,0,0,0,0,0,0.248747685201473,0.309225828721951,0.169267936053176,0.2727585500234,0,0,0.584944839000386,0.241376044930693,0.173679116068921,0,0.261908840051191,0,0.691121396724273,0.0469697632245357,0,0.349064173678136,0.555812577244686,0,0.095123249077178,0,0.150727978193807,0.448407476134018,0.400864545672174,0,0.7303337,0.586236427680873,0.585830271244049,0.730199484793138,0.614518147684606,0.622027534418022
1,0,0,0,0,0,0.030107391691114,0.354207212643586,0.359198178012745,0.256487217652555,0,0,0.175167620639496,0.278000193831422,0.546832185529083,0,0.0599401728077055,0,0.715627697648772,0.224432129543523,0,0.274220785659029,0.247088703850973,0,0.478690510489998,0,0.34579162648956,0.362817012891885,0.291391360618555,0,0.6677985,0.396995024996066,0.404745399951935,0.670359626904917,0.0262828535669587,0.0275344180225282
1,0,0,0,0,0,0.332905901714705,0.376869928158292,0.0746765539680907,0.215547616158912,0,0,0.718127783946057,0.108951972505077,0.172920243548867,0,0.331837294866415,0,0.252675808053168,0.415486897080417,0,0.313391342775165,0.633350088170117,0,0.053258569054718,0,0.162048367020619,0.338382759458639,0.499568873520741,0,0.7435524,0.626238303898902,0.632400214672089,0.745588615738821,0.881101376720901,0.899874843554443
1,0,0,0,0,0,0.464206162474456,0.112563144583784,0.383969842236498,0.039260850705263,0,0,0.54949615243187,0.341162076096744,0.109341771471386,0,0.167524417482427,0,0.342476235360252,0.489999347157321,0,0.339243859268018,0.557713742274872,0,0.10304239845711,0,0.494512904854619,0.131441842234679,0.374045252910701,0,0.7467196,0.63582275186714,0.631664454936981,0.745345482462835,0.916145181476846,0.896120150187735
1,0,0,0,0,0,0.166206967722919,0.250297483215149,0.143030012962652,0.44046553609928,0,0,0.899830702984,0.0214031813996003,0.0787661156163997,0,0.481056201826895,0,0.440157077657318,0.0787867205157868,0,0.36664794090357,0.26580637607222,0,0.36754568302421,0,0.35337087142413,0.300871162618712,0.345757965957158,0,0.7175099,0.547429581300764,0.548062264919281,0.717718971567106,0.357947434292866,0.351689612015019
1,0,0,0,0,0,0.373704746106327,0.258260836717883,0.244717988457666,0.123316428718124,0,0,0.376597322322235,0.398258666026271,0.225144011651494,0,0.452429072019244,0,0.298507957314024,0.249062970666732,0,0.40660064630178,0.314017469430935,0,0.279381884267285,0,0.352333614751876,0.302206924638498,0.345459460609626,0,0.7435601,0.626261605316355,0.629866421222687,0.744751318625879,0.882352941176471,0.891113892365457
1,0,0,0,0,0,0.265671238799861,0.180304351574892,0.28007751415521,0.273946895470037,0,0,0.39896206007644,0.2376144564062,0.36342348351736,0,0.0322903516276331,0,0.339410257397489,0.628299390974877,0,0.368002465675486,0.16597368889131,0,0.466023845433204,0,0.187404593417944,0.612647887657268,0.199947518924788,0,0.7211441,0.558427245106702,0.55536937713623,0.720133621413422,0.433041301627034,0.413016270337922
1,0,0,0,0,0,0.0393785654196153,0.318248586127348,0.054935645751074,0.587437202701963,0,0,0.663405961122537,0.0947387066850257,0.241855332192438,0,0.352505843179873,0,0.48109466599358,0.166399490826547,0,0.00376104111693099,0.327732377549065,0,0.668506581334004,0,0.469792795308447,0.386045541164282,0.144161663527271,0,0.6862059,0.45269872780313,0.466832101345062,0.690876301553679,0.0775969962453066,0.0888610763454318
1,0,0,0,0,0,0.097700516392776,0.258176137368517,0.288044050256162,0.356079295982546,0,0,0.385445986747812,0.105748499919974,0.508805513332214,0,0.344550445838665,0,0.557447251269502,0.0980023028918326,0,0.516835087232197,0.362973220774084,0,0.120191691993719,0,0.444281455214394,0.332982369478957,0.222736175306648,0,0.7033286,0.504514725285367,0.506667077541351,0.704039849107695,0.181476846057572,0.170212765957447
1,0,0,0,0,0,0.230947750726562,0.0970522346167889,0.10996675565898,0.562033258997669,0,0,0.0446031075070885,0.59477929730877,0.360617595184142,0,0.427341534040868,0,0.248108069761654,0.324550396197478,0,0.320793485329295,0.517960109545138,0,0.161246405125567,0,0.374943364826557,0.463614928123681,0.161441707049762,0,0.7113259,0.52871581954414,0.534815013408661,0.713341390810919,0.274092615769712,0.285356695869837
1,0,0,0,0,0,0.291803408225137,0.27014030460805,0.360942227977559,0.0771140591892542,0,0,0.296839380007194,0.665694713823966,0.0374659061688407,0,0.290500398294545,0,0.417454958985227,0.292044642720228,0,0.421011688875555,0.27828649567697,0,0.300701815447475,0,0.134755422465534,0.440166785528818,0.425077792005648,0,0.7341643,0.597828428939755,0.594894587993622,0.733194806391668,0.705882352941177,0.695869837296621
1,0,0,0,0,0,0.126818240990283,0.0628198868111775,0.188871523750339,0.621490348448201,0,0,0.392934996170052,0.451999751239203,0.155065252590745,0,0.135446575557447,0,0.0476654599344338,0.816887964508119,0,0.16450248425688,0.714032690528414,0,0.121464825214705,0,0.163580898744484,0.403915869203706,0.43250323205181,0,0.6841808,0.446570455013134,0.441971838474274,0.682661177967501,0.0613266583229036,0.0575719649561952
1,0,0,0,0,0,0.244444221445503,0.355439872622416,0.07270229757266,0.327413608359421,0,0,0.37694958030532,0.230371420840179,0.3926789988545,0,0.298595422495546,0,0.432996781266878,0.268407796237577,0,0.121834625076593,0.618721801856787,0,0.259443573066619,0,0.482311643433265,0.369359721754882,0.148328634811854,0,0.7310139,0.588294820427778,0.586418926715851,0.730394007171106,0.623279098873592,0.625782227784731
1,0,0,0,0,0,0.261078122198502,0.246388766748944,0.36738032358303,0.125152787469523,0,0,0.592442002033728,0.216437872777091,0.191120125189182,0,0.307407510114164,0,0.498344394693547,0.194248095192289,0,0.402560647735648,0.163190424092242,0,0.434248928172111,0,0.0185049537059135,0.00187967598212607,0.97961537031196,0,0.7294849,0.583667824676503,0.581420361995697,0.728742221462202,0.603254067584481,0.586983729662078
1,0,0,0,0,0,0.0434739668963571,0.512372666049906,0.256005085358186,0.18814828169555,0,0,0.331426979434791,0.289772459763861,0.378800560801348,0,0.3901847120339,0,0.061728245171497,0.548087042794603,0,0.250276008008596,0.39920962559601,0,0.350514366395394,0,0.861239073165831,0.0210354876162911,0.117725439217878,0,0.7059853,0.512554319538087,0.508139967918396,0.70452656867857,0.216520650813517,0.178973717146433
1,0,0,0,0,0,0.0300010253754323,0.428320783309376,0.140558447363582,0.40111974395161,0,0,0.223301427721621,0.492935536087189,0.28376303619119,0,0.596524028684754,0,0.00395833241843586,0.399517638896811,0,0.134719034617479,0.503592945151696,0,0.361688020230825,0,0.48865895088237,0.470495857915478,0.0408451912021518,0,0.7015662,0.499181424231053,0.500566124916077,0.702023777110767,0.16270337922403,0.160200250312891
